fusion_concept,fusion_api,build123d_idiom,build123d_api,fidelity,notes
Script/add-in entry point,`def run(context):` / `def stop(context):`,Plain Python module body (re-executed top-to-bottom),"`if __name__ == ""__main__"":` (optional)",approximate,`run` is the entry for both scripts and add-ins; `stop` is the **add-in** unload hook. build123d has no handler/lifecycle/add-in concept.
Application/Document/Product/Design root,`adsk.core.Application.get()`; `adsk.fusion.Design.cast(app.activeProduct)`; `design.rootComponent`,No app singleton; the built part is the root,`BuildPart()` -> `Part` / `Compound`,none,No document/product/application layer; geometry exists as Python objects. The `Part` (a `Compound`) is the de-facto root.
Parametric timeline (recompute graph),`design.timeline` (`count`/`item`/`markerPosition`/`play`/`moveToEnd`/`deleteAllAfterMarker`); `Feature.timelineObject.rollTo(rollBefore)`,Linear script order; re-running the script IS the recompute,(no equivalent),none,**Central paradigm gap.** No marker/rollback object. Flatten timeline into ordered statements.
Parametric vs Direct design mode,`design.designType = adsk.fusion.DesignTypes.ParametricDesignType | DirectDesignType`,Always effectively history-free; the script is the parametric layer,(no equivalent),none,No in-model history toggle; editability lives in source.
User parameter (unit-bearing expression),"`design.userParameters.add(name, value: ValueInput, units, comment)`; `param.expression`",Module-level Python variable / dataclass field,`length = 80 * MM`,approximate,"Keep unit intent via `* MM`/`* IN`. **What is lost is the expression dependency graph** (cross-parameter symbolic recompute), not the unit."
"Model parameter (auto, role-tagged)","`ModelParameter` (`createdBy`, `role` e.g. `""Depth""`)",The literal/variable passed into the op,`extrude(amount=thickness)`,approximate,No separate parameter object; the value is just the argument.
Numeric value input,`adsk.core.ValueInput.createByReal(cm)` / `createByString('25 mm')`,Python float (mm) or `n * MM`,`25.0` / `25 * MM`,approximate,`createByReal` is in **cm**; `* 10` to reach mm. `createByString` expressions de-parameterize to a literal float (build123d has no expression engine).
"Internal units (length=cm, angle=rad)",`design.unitsManager` (`convert`/`evaluateExpression`); database cm/radians,"Unitless model, `MM=1` scale; export defaults `Unit.MM`; angles in degrees",`MM/CM/M/IN/FT/THOU`; enum `Unit.MM/CM/...`,approximate,**HIGH-RISK:** ×10 cm->mm; ×(180/π) rad->deg. A missed conversion is a silent 10× / 57.3× scale error. `Unit` (export enum) ≠ the scalar constants.
Create a sketch on a plane/face,"`component.sketches.add(planarEntity[, occurrenceForCreation])`",Open a `BuildSketch` on a workplane or face,`with BuildSketch(Plane.XY): ...` / `BuildSketch(part.faces().sort_by(Axis.Z)[-1])`,direct,Construction plane -> `Plane` constant; planar `BRepFace` -> `Plane(face)` or pass the `Face` directly (must be planar).
Sketch line/arc/circle geometry,"`sketch.sketchCurves.sketchLines.addByTwoPoints` / `sketchArcs.addByCenterStartSweep(center, start, sweepAngle)` / `sketchCircles.addByCenterRadius`","1D objects in `BuildLine`, or 2D primitives directly","`Line, Polyline, CenterArc, ThreePointArc, RadiusArc, Spline, Bezier`; `Circle, Rectangle, Ellipse, RegularPolygon`",direct,"Coords cm->mm; arc `sweepAngle` **radians -> degrees**. Fusion `addByCenterStartSweep` has no radius arg (implied by start point); a build123d `CenterArc` takes explicit center/radius/start_angle/arc_size — convert, or use `RadiusArc`/`ThreePointArc`."
Geometric constraints (coincident/tangent/parallel/...),`sketch.geometricConstraints.addCoincident/addTangent/addParallel/addPerpendicular/addHorizontal/...`,**No solver:** bake relationships into explicit coordinates / Python math; tangent-aware constructors only for tangency,"`TangentArc, SagittaArc, JernArc, DoubleTangentArc`; coords computed in Python",lossy,**HIGH loss.** Read SOLVED coordinates at translation time. Tangency -> special arcs; everything else (coincident/parallel/perp/equal/concentric/symmetric/midpoint) -> computed coords / shared `Vertex`. Relationships do not self-correct on later edits.
Dimensional/driving constraints,`sketch.sketchDimensions.addDistanceDimension/addRadialDimension/addAngularDimension`; `isDriving`,Distances are just numeric args / Python expressions,"`Rectangle(width, height)`; `Circle(radius)`",lossy,"**Corrected:** `Rectangle` takes `(width, height, rotation=0, align, mode)` — there is **no `length` parameter**. Driven-vs-driving distinction and the dimension network are lost."
Auto-computed profile (closed region),`sketch.profiles.item(0)`,The `Sketch` result itself / make a face from closed wires,`make_face()` (consumes `BuildSketch` pending **edges**); the BuildSketch result,approximate,build123d builds faces from closed loops on demand via `make_face()` (edges must form a single closed wire) rather than exposing an indexed `profiles` collection.
